RecordID,Date,Player,Team,Positive,Neutral,Negative,PopularityScore
1,2025-04-01,Shaheen Afridi,Bangladesh,87,13,0,9.4
2,2023-10-10,Mujeeb Ur Rahman,Pakistan,61,6,33,6.4
3,2024-02-20,Tom Latham,West Indies,68,19,13,7.8
4,2024-07-11,Hardik Pandya,Bangladesh,72,11,17,7.8
5,2025-01-10,Kagiso Rabada,England,75,16,9,8.3
6,2025-03-10,Dasun Shanaka,South Africa,81,4,15,8.3
7,2024-04-16,Glenn Maxwell,England,59,18,23,6.8
8,2024-01-11,Travis Head,West Indies,55,10,35,6.0
9,2024-05-30,Jason Holder,Afghanistan,58,14,28,6.5
10,2025-05-12,Aiden Markram,West Indies,79,5,16,8.1
11,2024-03-13,Harry Brook,Pakistan,61,20,19,7.1
12,2024-09-22,Steve Smith,New Zealand,72,14,14,7.9
13,2024-09-21,Shakib Al Hasan,Afghanistan,68,14,18,7.5
14,2023-03-10,Joe Root,Pakistan,60,11,29,6.6
15,2025-04-04,Jofra Archer,India,64,15,21,7.1
16,2024-02-22,Shimron Hetmyer,Afghanistan,94,15,0,10.1
17,2024-03-10,Hardik Pandya,Bangladesh,89,9,2,9.4
18,2023-08-17,Jofra Archer,Bangladesh,68,14,18,7.5
19,2024-03-11,Glenn Maxwell,India,88,12,0,9.4
20,2024-08-29,Devon Conway,Bangladesh,78,13,9,8.4
21,2025-01-14,Trent Boult,Australia,71,19,10,8.1
22,2024-08-09,Aiden Markram,India,84,6,10,8.7
23,2023-12-21,Virat Kohli,Afghanistan,74,3,23,7.5
24,2024-04-19,Aiden Markram,England,74,5,21,7.7
25,2024-07-14,Shimron Hetmyer,Bangladesh,62,10,28,6.7
26,2025-05-28,Shaheen Afridi,Australia,66,10,24,7.1
27,2023-05-30,MS Dhoni,Sri Lanka,81,12,7,8.7
28,2025-03-20,Hardik Pandya,Afghanistan,65,12,23,7.1
29,2023-03-07,Devon Conway,New Zealand,90,8,2,9.4
30,2024-05-01,Rishabh Pant,Sri Lanka,65,12,23,7.1
31,2024-11-28,Shubman Gill,Sri Lanka,75,14,11,8.2
32,2023-04-03,Wanindu Hasaranga,Bangladesh,94,3,3,9.5
33,2025-04-01,Steve Smith,Afghanistan,69,19,12,7.9
34,2023-04-26,Rohit Sharma,Pakistan,84,3,13,8.6
35,2024-09-05,Shaheen Afridi,Pakistan,64,15,21,7.1
36,2023-05-24,Ben Stokes,India,65,20,15,7.5
37,2024-08-02,Mitchell Starc,West Indies,58,17,25,6.7
38,2023-09-06,Ravindra Jadeja,West Indies,65,12,23,7.1
39,2023-03-20,Dasun Shanaka,New Zealand,68,17,15,7.7
40,2023-09-24,Kagiso Rabada,West Indies,81,5,14,8.3
41,2023-02-28,Mujeeb Ur Rahman,England,66,20,14,7.6
42,2023-11-21,Pat Cummins,Afghanistan,74,14,12,8.1
43,2024-10-15,Shimron Hetmyer,Bangladesh,80,8,12,8.4
44,2025-02-09,KL Rahul,New Zealand,74,8,18,7.8
45,2024-02-12,Virat Kohli,Sri Lanka,85,15,0,9.2
46,2024-08-28,Quinton de Kock,Pakistan,81,9,10,8.6
47,2025-01-16,Pat Cummins,India,88,9,3,9.2
48,2024-10-11,Steve Smith,England,91,4,5,9.3
49,2024-10-05,Jonny Bairstow,West Indies,79,19,2,8.8
50,2024-04-27,Travis Head,India,93,11,0,9.8
51,2023-07-12,Jonny Bairstow,Bangladesh,68,5,27,7.0
52,2024-07-28,David Warner,Australia,85,11,4,9.1
53,2024-06-23,Fakhar Zaman,Bangladesh,92,15,0,9.9
54,2023-07-12,Jonny Bairstow,Sri Lanka,93,3,4,9.4
55,2023-12-30,Dasun Shanaka,England,92,8,0,9.6
56,2023-11-12,Mohammad Rizwan,India,88,7,5,9.2
57,2025-04-04,Jonny Bairstow,Pakistan,84,13,3,9.1
58,2023-03-22,Virat Kohli,Pakistan,88,7,5,9.2
59,2023-11-02,Hardik Pandya,West Indies,89,18,0,9.8
60,2023-08-09,Yashasvi Jaiswal,South Africa,72,3,25,7.3
61,2023-09-25,Nicholas Pooran,Afghanistan,75,19,6,8.4
62,2025-05-06,Tom Latham,India,91,16,0,9.9
63,2024-05-06,Shaheen Afridi,West Indies,90,19,0,9.9
64,2024-12-05,Jofra Archer,South Africa,88,19,0,9.8
65,2023-06-12,MS Dhoni,India,78,7,15,8.1
66,2024-05-12,Temba Bavuma,New Zealand,86,3,11,8.8
67,2024-10-26,Virat Kohli,England,55,14,31,6.2
68,2023-10-02,Mohammed Shami,Pakistan,87,11,2,9.2
69,2024-04-30,Rishabh Pant,New Zealand,93,14,0,10.0
70,2025-02-09,Wanindu Hasaranga,Pakistan,95,3,2,9.7
71,2024-02-08,Tom Latham,West Indies,68,5,27,7.0
72,2025-06-18,Jonny Bairstow,England,62,7,31,6.6
73,2024-01-21,Andre Russell,South Africa,79,4,17,8.1
74,2025-02-06,Ben Stokes,India,62,20,18,7.2
75,2025-05-30,Harry Brook,Pakistan,73,3,24,7.5
76,2024-05-03,Shimron Hetmyer,India,55,17,28,6.3
77,2023-07-18,MS Dhoni,Australia,80,5,15,8.2
78,2024-01-31,Joe Root,England,67,14,19,7.4
79,2025-04-04,Rashid Khan,South Africa,67,13,20,7.3
80,2023-10-17,Fakhar Zaman,India,76,16,8,8.4
81,2023-11-25,Rahmanullah Gurbaz,Sri Lanka,79,4,17,8.1
82,2024-11-12,Mohammad Rizwan,Bangladesh,67,19,14,7.7
83,2023-05-04,Virat Kohli,South Africa,76,13,11,8.2
84,2023-10-25,Suryakumar Yadav,Afghanistan,76,9,15,8.1
85,2023-09-04,Temba Bavuma,New Zealand,91,16,0,9.9
86,2024-12-25,Suryakumar Yadav,South Africa,68,20,12,7.8
87,2024-11-01,Litton Das,Australia,61,18,21,7.0
88,2023-04-19,Jos Buttler,Pakistan,93,9,0,9.8
89,2024-10-24,Litton Das,New Zealand,89,15,0,9.7
90,2024-01-16,Shimron Hetmyer,Afghanistan,78,8,14,8.2
91,2023-06-04,Dasun Shanaka,West Indies,62,19,19,7.1
92,2023-06-10,Glenn Maxwell,England,91,19,0,10.0
93,2023-12-17,Hardik Pandya,Australia,78,13,9,8.4
94,2024-03-11,Shimron Hetmyer,Bangladesh,77,13,10,8.3
95,2023-08-14,Wanindu Hasaranga,Australia,62,6,32,6.5
96,2023-05-29,Travis Head,Sri Lanka,66,12,22,7.2
97,2024-09-06,Quinton de Kock,Bangladesh,57,15,28,6.5
98,2025-06-06,Suryakumar Yadav,England,72,18,10,8.1
99,2024-04-24,Litton Das,India,66,7,27,6.9
100,2024-04-11,Ravindra Jadeja,Afghanistan,75,5,20,7.8
101,2024-07-13,Temba Bavuma,India,68,12,20,7.4
102,2024-10-08,Rishabh Pant,South Africa,94,20,0,10.4
103,2024-06-07,Yashasvi Jaiswal,Pakistan,90,15,0,9.8
104,2023-02-24,Kagiso Rabada,Australia,57,17,26,6.6
105,2023-08-24,Mohammed Shami,West Indies,66,14,20,7.3
106,2024-07-09,Litton Das,Sri Lanka,70,6,24,7.3
107,2024-07-20,Devon Conway,Bangladesh,83,6,11,8.6
108,2023-12-02,Rahmanullah Gurbaz,New Zealand,82,5,13,8.4
109,2024-08-24,Dasun Shanaka,India,64,11,25,6.9
110,2025-04-10,Jos Buttler,New Zealand,89,9,2,9.4
111,2024-10-29,Devon Conway,New Zealand,75,11,14,8.1
112,2023-05-04,Jos Buttler,Afghanistan,78,20,2,8.8
113,2025-01-16,Suryakumar Yadav,Sri Lanka,87,6,7,9.0
